season,team,round_start,round_end,wins,draws,losses,points,goals_scored,goals_received,position
99/00,West Ham United,2000-04-29,2000-04-30,15,9,12,54,52,52,8
99/00,Leicester City,2000-04-29,2000-04-30,15,7,14,52,52,51,9
99/00,Tottenham Hotspur,2000-04-29,2000-04-30,14,8,14,50,53,45,10
99/00,Everton FC,2000-04-29,2000-04-30,12,13,11,49,58,46,11
99/00,Newcastle United,2000-04-29,2000-04-30,13,9,14,48,59,52,12
99/00,Middlesbrough FC,2000-04-29,2000-04-30,13,9,14,48,43,51,13
99/00,Coventry City,2000-04-29,2000-04-30,11,8,17,41,43,52,14
99/00,Southampton FC,2000-04-29,2000-04-30,11,7,18,40,43,62,15
99/00,Derby County,2000-04-29,2000-04-30,9,10,17,37,44,53,16
99/00,Bradford City,2000-04-29,2000-04-30,8,9,19,33,37,65,17
99/00,Wimbledon FC,2000-04-29,2000-04-30,7,11,18,32,44,70,18
99/00,Sheffield Wednesday,2000-04-29,2000-04-30,7,7,22,28,33,66,19
99/00,Watford FC,2000-04-29,2000-04-30,5,5,26,20,33,76,20
99/00,Manchester United,2000-05-06,2000-05-08,27,7,3,88,96,45,1
99/00,Arsenal FC,2000-05-06,2000-05-08,22,7,8,73,71,39,2
99/00,Leeds United,2000-05-06,2000-05-08,21,5,11,68,58,43,3
99/00,Liverpool FC,2000-05-06,2000-05-08,19,10,8,67,51,29,4
99/00,Chelsea FC,2000-05-06,2000-05-08,17,11,9,62,49,34,5
99/00,Aston Villa,2000-05-06,2000-05-08,15,13,9,58,46,34,6
99/00,Sunderland AFC,2000-05-06,2000-05-08,16,10,11,58,56,53,7
99/00,Leicester City,2000-05-06,2000-05-08,16,7,14,55,55,51,8
99/00,West Ham United,2000-05-06,2000-05-08,15,9,13,54,52,53,9
99/00,Everton FC,2000-05-06,2000-05-08,12,14,11,50,59,47,10
99/00,Tottenham Hotspur,2000-05-06,2000-05-08,14,8,15,50,54,48,11
99/00,Newcastle United,2000-05-06,2000-05-08,13,10,14,49,59,52,12
99/00,Middlesbrough FC,2000-05-06,2000-05-08,13,10,14,49,44,52,13
99/00,Coventry City,2000-05-06,2000-05-08,12,8,17,44,47,53,14
99/00,Southampton FC,2000-05-06,2000-05-08,11,8,18,41,43,62,15
99/00,Derby County,2000-05-06,2000-05-08,9,11,17,38,44,53,16
99/00,Wimbledon FC,2000-05-06,2000-05-08,7,12,18,33,46,72,17
99/00,Bradford City,2000-05-06,2000-05-08,8,9,20,33,37,68,18
99/00,Sheffield Wednesday,2000-05-06,2000-05-08,7,7,23,28,34,70,19
99/00,Watford FC,2000-05-06,2000-05-08,5,6,26,21,34,77,20
99/00,Manchester United,2000-05-14,2000-05-14,28,7,3,91,97,45,1
99/00,Arsenal FC,2000-05-14,2000-05-14,22,7,9,73,73,43,2
99/00,Leeds United,2000-05-14,2000-05-14,21,6,11,69,58,43,3
99/00,Liverpool FC,2000-05-14,2000-05-14,19,10,9,67,51,30,4
99/00,Chelsea FC,2000-05-14,2000-05-14,18,11,9,65,53,34,5
99/00,Aston Villa,2000-05-14,2000-05-14,15,13,10,58,46,35,6
99/00,Sunderland AFC,2000-05-14,2000-05-14,16,10,12,58,57,56,7
99/00,Leicester City,2000-05-14,2000-05-14,16,7,15,55,55,55,8
99/00,West Ham United,2000-05-14,2000-05-14,15,10,13,55,52,53,9
99/00,Tottenham Hotspur,2000-05-14,2000-05-14,15,8,15,53,57,49,10
99/00,Newcastle United,2000-05-14,2000-05-14,14,10,14,52,63,54,11
99/00,Middlesbrough FC,2000-05-14,2000-05-14,14,10,14,52,46,52,12
99/00,Everton FC,2000-05-14,2000-05-14,12,14,12,50,59,49,13
99/00,Coventry City,2000-05-14,2000-05-14,12,8,18,44,47,54,14
99/00,Southampton FC,2000-05-14,2000-05-14,12,8,18,44,45,62,15
99/00,Derby County,2000-05-14,2000-05-14,9,11,18,38,44,57,16
99/00,Bradford City,2000-05-14,2000-05-14,9,9,20,36,38,68,17
99/00,Wimbledon FC,2000-05-14,2000-05-14,7,12,19,33,46,74,18
99/00,Sheffield Wednesday,2000-05-14,2000-05-14,8,7,23,31,38,70,19
99/00,Watford FC,2000-05-14,2000-05-14,6,6,26,24,35,77,20
